name,imageUrl,affiliateUrl,productCategories,attributes,relatedTariffUpdates
"Apple AirPods Pro 2 Wireless Earbuds","https://cdn.sanity.io/images/wvfxas7s/production/58fc8e7d6bca6ee3052a4bb3b982efc3f6da3773-1165x1500.jpg","https://amzn.to/4iApJuo","Electronics,Cell Phones & Accessories","Apple",""
"Apple 2025 MacBook Air 15-inch","https://cdn.sanity.io/images/wvfxas7s/production/98e4228403917fd28658829b5196701860155598-1500x913.jpg","https://amzn.to/4cHLd7c","Electronics,Laptops","Apple,On Sale",""
"SAMSUNG Galaxy S24 FE AI Phone","","https://amzn.to/4jzMoYq","Electronics,Cell Phones & Accessories","","" 
"Apple Watch Ultra 2","https://cdn.sanity.io/images/wvfxas7s/production/87c0d9b2c9bbb306fa5cdab0740a7bd3ef02aa9c-1269x1500.jpg","https://amzn.to/3EuJTrz","Electronics,Wearables,Cell Phones & Accessories","Apple,On Sale","" 
